Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
histology_grade,cancer_history,,dropdown, Histological Grade,"G1, Well differentiated | G12, Well to Moderately differentiated | G2, Moderately differentiated | G23, Moderate to Poorly differentiated | G3, Poorly differentiated | G4, Undifferentiated | Gx, Can not be assessed | Unk, Unknown",,,,,,,y,,,,,
stage_dx,cancer_history,,radio,Tumor Stage at Diagnosis,"0, 0 | IA, IA | IB, IB | IIA, IIA | IIB, IIB | III, III | IV, IV | Unk, Unk",,,,,,,y,RH,,,,
met_diagnosis_date,cancer_history,,text,Metastatic Diagnosis Date,,,date_mdy,,,,,y,,,,,
stage_screen,cancer_history,,radio,Tumor Stage at Screening,"0, 0 | IA, IA | IB, IB | IIA, IIA | IIB, IIB | III, III | IV, IV",,,,,,,y,RH,,,,
dzsites_screen,cancer_history,,checkbox,Disease Sites at Screening ,"Adrenal, Adrenal | Bone, Bone | Liver, Liver | Lung, Lung | LN, LN | Panc, Pancreas | Perit, Peritoneum / Omental | Other, Other",Please list both primary and metastatic sites that are present at screening.,,,,,,y,LH,,,,
dzsites_screen_specify,cancer_history,,notes,"Specify Location if ""Other"" or ""Lymph Node""",,,,,,,[dzsites_screen(LN)] = '1' or [dzsites_screen(Other)] = '1',y,RH,,,,
ascites,cancer_history,,radio,Does subject have ascites?,"yes, Yes | No, No",,,,,,,y,RH,,,,
ascites_specify,cancer_history,,radio,"If yes, please specify","Radiographic, Radiographic | Clinical, Clinical | Both, Both (Radiographic and Clinical)","If clinical (meaning on exam, was medical or procedural intervention required?)",,,,,[ascites] = 'yes',y,,,,,
tumor_testing,cancer_history,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;""> <tbody> <tr> <td style=""width: 33.3333%;"">Did subject have the following testing done?</td> <td style=""width: 33.3333%;"">If yes, complete the corresponding CRF</td> <td style=""width: 33.3333%;"">Company performing testing</td> </tr> <tr> <td style=""width: 33.3333%;""> </td> <td style=""width: 33.3333%;""> </td> <td style=""width: 33.3333%;""> </td> </tr> <tr> <td style=""width: 33.3333%;"">Germline Testing (normal tissue, blood)</td> <td style=""width: 33.3333%;"">{germ_test}</td> <td style=""width: 33.3333%;"">{germ_comp}</td> </tr> <tr> <td style=""width: 33.3333%;"">Tumor Genomic Testing</td> <td style=""width: 33.3333%;"">{tumor_test}</td> <td style=""width: 33.3333%;"">{tumor_comp}</td> </tr> <tr> <td style=""width: 33.3333%;"">Tumor Biomarker Testing (e.g. IHC for protein expression)</td> <td style=""width: 33.3333%;"">{biomark}</td> <td style=""width: 33.3333%;"">{bio_comp}</td> </tr> <tr> <td style=""width: 33.3333%;"">RNA Sequence Testing (testing Tumor RNA)</td> <td style=""width: 33.3333%;"">{rna}</td> <td style=""width: 33.3333%;"">{rna_comp}</td> </tr> <tr> <td style=""width: 33.3333%;"">MSI Testing</td> <td style=""width: 33.3333%;"">{msi}</td> <td style=""width: 33.3333%;"">{msi_comp}</td> </tr> <tr> <td style=""width: 33.3333%;"">TMB</td> <td style=""width: 33.3333%;"">{tmb}</td> <td style=""width: 33.3333%;"">{tmb_comp}</td> </tr> <tr> <td style=""width: 33.3333%;"">ctDNA Testing (blood)</td> <td style=""width: 33.3333%;"">{ctdna}</td> <td style=""width: 33.3333%;"">{ctdna_comp}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
germ_test,cancer_history,,radio,Has subject had germline testing?,"Yes, Yes | No, No | Unk, Unk","Testing done on sample of normal tissue, usually blood or cheek (buccal)",,,,,,y,RH,,,,
germ_comp,cancer_history,,text,Company performing germline testing,,Please complete the germline testing CRF,,,,,[germ_test] = 'Yes',y,RH,,,,
tumor_test,cancer_history,,radio,Has subject had tumor genomic testing?,"Yes, Yes | No, No | Unk, Unk",Testing done on tumor tissue (DNA),,,,,,y,RH,,,,
tumor_comp,cancer_history,,text,Company performing tumor genomic testing,,Please complete the tumor genomic testing CRF,,,,,[tumor_test] = 'Yes',y,RH,,,,
biomark,cancer_history,,radio,Did subject have tumor biomarker testing?,"Yes, Yes | No, No | Unk, Unk","Tumor IHC staining for protein expression (example: PD-L1, Her2/Neu)",,,,,,y,RH,,,,
bio_comp,cancer_history,,text,Company Performing Tumor Biomarker Testing,,Please complete the tumor biomarker testing CRF,,,,,[biomark] = 'Yes',y,RH,,,,
rna,cancer_history,,radio,Has Subject had RNA sequence testing?,"Yes, Yes | No, No | Unk, Unk",Testing done on the tumor (RNA),,,,,,y,RH,,,,
rna_comp,cancer_history,,text,Company performing the RNA sequencing,,Please complete the RNA sequencing testing CRF.,,,,,[rna] = 'Yes',y,RH,,,,
msi,cancer_history,,radio,Has subject had MSI testing?,"Yes, Yes | No, No | Unk, Unk","If yes, please complete MSI testing CRF.",,,,,,y,RH,,,,
msi_comp,cancer_history,,text,Company performing MSI testing?,,,,,,,[msi] = 'Yes',y,,,,,
tmb,cancer_history,,text,TMB,,Tumor Mutation Burden i.e. 5 mutations/mb,,,,,,y,,,,,
tmb_comp,cancer_history,,text,Company performing TMB testing,,,,,,,,y,,,,,
ctdna,cancer_history,,radio,Has subject have ctDNA testing?,"Yes, Yes | No, No | Unk, Unk",Testing done on the blood for circulating tumor DNA (ctDNA) ,,,,,,y,RH,,,,
ctdna_comp,cancer_history,,text,Company performing ctDNA testing,,Please complete the ctDNA testing CRF,,,,,[ctdna] = 'Yes',y,RH,,,,
bil_stent,cancer_history,,radio,Did the subject have a biliary stent? ,"Yes, Yes | No, No | Unk, Unknown","If yes, please add to Medical History CRF",,,,,,y,RH,,,,
dvt,cancer_history,,radio,Does subject have a previous deep-venous thrombosis of extremities or pulmonary emboli?,"Yes, Yes | No, No | Unk, Unknown","If yes, please add to Medical History CRF",,,,,,y,RH,,,,
pain,cancer_history,,radio,Does subject have cancer related pain at baseline?,"Yes, Yes | No, No | Unk, Unknown","If yes, please add to Medical History CRF",,,,,,y,RH,,,,
cahx_comm,cancer_history,,notes,Comments,,,,,,,,,LH,,,,
medhx,medical_history,,text,"Event, Condition, or Procedure",,,,,,,,y,,,,,
medhx_grade,medical_history,,radio,Grade,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 6, N/A | 7, Unknown",,,,,,,y,RH,,,,
medhx_start,medical_history,,text,Onset Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,y,,,,,
medhx_ongoing,medical_history,,radio,Ongoing?,"Yes, Yes | No, No | NA, N/A",,,,,,,y,RH,,,,
medhx_stop,medical_history,,text,Stop Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,[medhx_ongoing] = 'No',y,,,,,
medhx_conmed,medical_history,,radio,Is subject taking medication for this event?,"Yes, Yes | No, No","If yes, please add to con med CRF",,,,,,y,RH,,,,
medhx_comm,medical_history,,notes,Comment,,,,,,,,,LH,,,,
germ_gene,germline_testing,"Please only list genes that have mutations. Examples include Invitae, Myriad, Color Hereditary Test, and Tempus xG.",text,Germline gene name,,,,,,,,,,,,,
germ_status,germline_testing,,radio,Does the gene have a genomic alteration?,"Yes, Yes | No, No | Unk, Unk",,,,,,,,RH,,,,
germ_genalt,germline_testing,,text,"If yes, specify genomic location",,"Example: p.V600E, c.1799T>A",,,,,[germ_status] = 'Yes',,RH,,,,
germ_comment,germline_testing,,notes,Comment,,,,,,,,,LH,,,,
tumor_gene,tumor_genomic_testing,"Please only list genes that have mutations. Examples include JHH NGS Solid Tumor Panel, Altera, FoundationOne, Caris, Perthera, Tempus xT.",text,Tumor gene name,,,,,,,,,RH,,,,
tumor_status,tumor_genomic_testing,,radio,Does the gene have a genomic alteration?,"Yes, Yes | No, No | Unk, Unk",,,,,,,,RH,,,,
tumor_genalt,tumor_genomic_testing,,text,"If yes, specify genomic alteration",,"Example: p.V600E, c.1799T>A",,,,,[tumor_status] = 'Yes',,RH,,,,
tumor_comment,tumor_genomic_testing,,notes,Comment,,,,,,,,,LH,,,,
biomark_name,tumor_biomarker_testing,Please enter both positive and negative results,text,Biomarker name,,"Example: PD-L1, Her2/Neu",,,,,,y,RH,,,,
biomark_result,tumor_biomarker_testing,,text,Biomarker Test Result,,"Example: Positive, Negative, Retention, Deficient, Equivocal",,,,,,y,RH,,,,
biomark_comm,tumor_biomarker_testing,,notes,Comment,,,,,,,,,LH,,,,
msi_test,msi_testing,,checkbox,Test used to determine MSI status,"IHC, IHC | PCR, PCR | NGS, NGS",,,,,,,y,RH,,,,
ihc_comp,msi_testing,,text,Company Performing IHC MSI Testing,,,,,,,[msi_test(IHC)] = '1',y,RH,,,,
ihc_result,msi_testing,,radio,IHC MSI Testing Result,"MSI, MSI | MSS, MSS | NE, Not Evaluable",,,,,,[msi_test(IHC)] = '1',y,RH,,,,
ihc_prot,msi_testing,,checkbox,Which proteins are no longer expressed?,"MLH1, MLH1 | MSH2, MSH2 | MSH6, MSH6 | PMS2, PMS2 | Unk, Unknown",Proteins that are negative by IHC,,,,,[ihc_result] = 'MSI',y,,,,,
pcr_comp,msi_testing,,text,Company Performing PCR MSI Testing,,,,,,,[msi_test(PCR)] = '1',y,RH,,,,
pcr_result,msi_testing,,radio,PCR MSI Testing Result,"MSI, MSI | MSIL, MSI-L | MSS, MSS | NE, Not Evaluable",,,,,,[msi_test(PCR)] = '1',y,RH,,,,
pcr_loci,msi_testing,,checkbox,Loci that are microsatellite instable,"BAT25, BAT-25 | BAT26, BAT-26 | NR21, NR-21 | NR24, NR-24 | MONO27, MONO-27 | D2S123, D2S123 | D5S346, D5S346 | D17S250, D17S250 | Other, Other | Unk, Unknown",,,,,,[pcr_result] = 'MSI' or [pcr_result] = 'MSIL',y,,,,,
pcr_other_loci,msi_testing,,text,"If other, please specify additional loci",,,,,,,[pcr_loci(Other)] = '1',y,RH,,,,
ngs_comp,msi_testing,,text,Company Performing NGS MSI Testing,,,,,,,[msi_test(NGS)] = '1',y,RH,,,,
ngs_result,msi_testing,,radio,NGS MSI Testing Result,"MSI, MSI | MSIL, MSI-L | MSS, MSS | NE, Not Evaluable",,,,,,[msi_test(NGS)] = '1',y,RH,,,,
msi_comm,msi_testing,,notes,Comment,,,,,,,,,LH,,,,
ctgene_name,ctdna_testing,"Please only list genes that have mutations. Example include Tempus xF, FoundationOne Liquid, Guardant360.",text,Tumor gene name,,,,,,,,,RH,,,,
ctgene_status,ctdna_testing,,radio,Does the gene have a genomic alteration?,"Yes, Yes | No, No | Unk, Unk",,,,,,,,RH,,,,
ctgene_genaltv,ctdna_testing,,text,"If yes, specify genomic alteration",,"Example: p.V600E, c.1799T>A",,,,,[ctgene_status] = 'Yes',,RH,,,,
ctgene_comm,ctdna_testing,,notes,Comment,,,,,,,,,LH,,,,
rna_name,rna_sequence_testing,"Please only list genes that have mutations. Examples include Caris, Tempus xE, and FoundationOne Heme.",text,Gene name,,,,,,,,,RH,,,,
rna_status,rna_sequence_testing,,radio,Does RNA sequence have an alteration?,"Yes, Yes | No, No | Unk, Unk",,,,,,,,RH,,,,
rna_alt,rna_sequence_testing,,text,"If yes, specify alteration",,e.g. low/5mutations/Mb; Exon 2/p.G12R,,,,,[rna_status] = 'Yes',,RH,,,,
rna_comm,rna_sequence_testing,,notes,Comment,,,,,,,,,LH,,,,
surgery,prior_cancer_tx_surgery,,text,Surgery,,"if pt did not have surgery, write ""none""",,,,,,y,,,,,
surg_date,prior_cancer_tx_surgery,,text,Date of Surgery,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,,,,,,
surg_type,prior_cancer_tx_surgery,,dropdown,Surgery Type,"P, Primary | M, Metastases | Both, Both",,,,,,,,,,,,
surg_intent,prior_cancer_tx_surgery,,dropdown,Intent of Procedure,"C, Curative | D, Diagnostic | P, Palliative | R, Reconstructive | Pr, Prophylaxis | U, Unknown","intent at time of completion - e.g. if plan was for Whipple resection (curative), but palliative bypass done instead, select palliative",,,,,,,,,,,
surg_comm,prior_cancer_tx_surgery,,notes,Comments,,,,,,,,,LH,,,,
rad_site,prior_cancer_tx_radiation,,text,Radiation Site,,"if pt did not have radiation therapy, write ""none""",,,,,,y,,,,,
rad_intent,prior_cancer_tx_radiation,,dropdown,Intent of Radiation,"1, Neoadjuvant or locally advanced (before surgery) | 2, Adjuvant (after surgery) | 3, Locally recurrent (recur after surgery) | 4, Palliative (symptom relief)",,,,,,,,,,,,
rad_start,prior_cancer_tx_radiation,,text,Start Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,,,,,,
rad_stop,prior_cancer_tx_radiation,,text,Stop Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,,,,,,
rad_dose,prior_cancer_tx_radiation,,text,Total Cumulative Dose,,Gy,,,,,,,,,,,
rad_therapy,prior_cancer_tx_radiation,,radio,Were there concurrent chemotherapy and radiation therapies?,"Yes, Yes | No, No",,,,,,,,RH,,,,
rad_therapy_comment,prior_cancer_tx_radiation,,notes,"If yes, then provide the type of chemotherapy and any additional information.",,,,,,,[rad_therapy] = 'Yes',,LH,,,,
rad_comm,prior_cancer_tx_radiation,,notes,Comments,,,,,,,,,LH,,,,
systemic_instructions,prior_cancer_tx_systemic,,descriptive,"Enter multi-agent chemotherapy as one regimen (e.g. FOLFIRINOX or GemAbraxane).  If an agent is dropped during treatment, this should still be considered continuation of the same regimen.  Describe any known modifications in the comments below.  If there are concurrent chemotherapy and radiation therapies, then it should be recorded on the Prior Cancer TX Radiation CRF (unless it is given for several months before or after).",,,,,,,,,,,,,
systemic_regimen,prior_cancer_tx_systemic,,text,Sytemic Tx Regimen,,,,,,,,y,,,,,
systemic_regimen_reason,prior_cancer_tx_systemic,,dropdown,What was the Reason for Systemic Regimen Tx?,"1, Neoadjuvant | 2, Adjuvant | 3, Locally Advanced | 4, Locally Recurrent | 5, Metastatic | 6, Maintenance",,,,,,,y,,,,,
systemic_start,prior_cancer_tx_systemic,,text,Start Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,y,,,,,
systemic_stop,prior_cancer_tx_systemic,,text,Stop Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,y,,,,,
systemic_bestresponse,prior_cancer_tx_systemic,,dropdown,Best Response,"CR, Complete Response | PR, Partial Response | SD, Stable Disease | PD, Progressive Disease | Unk, Unknown | NA, NA",,,,,,,y,,,,,
systemic_pd,prior_cancer_tx_systemic,,dropdown,Did the patient progress on this regimen?,"Yes, Yes | No, No | Unk, Unknown",,,,,,,y,,,,,
systemic_pddate,prior_cancer_tx_systemic,,text,Date of Progression,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,[systemic_pd] = 'Yes',y,,,,,
systemic_comm,prior_cancer_tx_systemic,,notes,Comments,,"describe any dose modifications or dropped components, if known",,,,,,,LH,,,,
other_cancertx,other_prior_cancer_therapies,"Other Prior Cancer Therapies may include some of the following non-chemo/radiotherapy examples: 

Bland embolization, Radioembolization, Cryoablation, TACE, RFA, Electroporation, etc
",text,Treatment,,,,,,,,y,,,,,
other_cancertx_start,other_prior_cancer_therapies,,text,Start Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,y,,,,,
other_cancertx_stop,other_prior_cancer_therapies,,text,Stop Date,,"Please enter dates using the following format: YYYY/MM/DD. If unknown, please enter 9999/99/99 (or if only a partial date is known, enter using the following format: YYYY/99/99 or YYYY/MM/99).",,,,,,y,,,,,
other_cancertx_comm,other_prior_cancer_therapies,,notes,Comment,,,,,,,,,LH,,,,
pe_done,physical_exam,,radio,Physical Exam performed?,"Yes, Yes | No, No | NA, N/A (not required)","If no, please add to protocol deviation log.",,,,,,y,RH,,,,
pe_visit,physical_exam,,radio,Visit ID,"Screen, Screen | Cycle, Cycle | EOT, EOT | ClinFU, Clinical FU | Unscheduled, Unscheduled",,,,,,,y,RH,,,,
pe_cycle,physical_exam,,text,Cycle Number ,,,number,,,,[pe_visit] = 'Cycle',y,RH,,,,
pe_date,physical_exam,,text,Date of Exam,,,date_mdy,,,,[pe_done] = 'Yes',y,,,,,
ecog,physical_exam,,radio,ECOG Performance Status,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | ND, ND | NA, NA","If ND, please add to protocol deviation log.",,,,,[pe_done] = 'Yes',y,RH,,,,
pe_abnormal,physical_exam,,radio,Were abnormalities observed on physical exam?,"Yes, Yes | No, No",,,,,,[pe_done] = 'Yes',y,RH,,,,
pe_abnormalities,physical_exam,,notes,List Abnormalities,,Describe any abnormal findings or issues here.  Enter all AEs in separate log (AE CRF found under Screen visit),,,,,[pe_abnormal] = 'Yes',y,LH,,,,
pe_comm,physical_exam,,notes,Comments,,,,,,,,,LV,,,,
heightdate,height_bmi_ibw_abw,,text,Date collected,,,date_mdy,,,,,y,,,,,
height,height_bmi_ibw_abw,,text,Height,,cm,number,,,,,y,,,,,
bmi,height_bmi_ibw_abw,,calc,BMI,"if([screen_arm_1][weight] <>"""", [screen_arm_1][weight]*10000/([height]*[height]),"""")",,,,,,,y,RH,,,,
bw_actual,height_bmi_ibw_abw,,calc,Actual Body Weight,[screen_arm_1][weight],kg,,,,,,,RH,,,,
bw_ideal,height_bmi_ibw_abw,,calc,Ideal Body Weight [gender],"if([gender] = ""2"",45.5+2.3*(([height]*0.394)-60),if([gender] = ""1"",50+2.3*(([height]*0.394)-60),""""))",kg,,,,,,,RH,,,,
per_ibw,height_bmi_ibw_abw,,calc,% Actual Weight is over IBW,((([weight]/[bw_ideal])*100)-100),"For patients who weigh >30% more than their IBW, the Adjusted Body Weight (ABW) will be used to calculate the dose of plerixafor",,,,,,,RH,,,,
bw_adjusted,height_bmi_ibw_abw,,calc,Adjusted Body Weight [gender],[bw_ideal]+0.4*([weight]-[bw_ideal]),,,,,,,,RH,,,,
ht_comment,height_bmi_ibw_abw,,notes,Comments,,,,,,,,,LH,,,,
vitalscoll,vital_signs_and_weight,,radio,Were vitals signs collected?,"Yes, Yes | No, No | NA, N/A (not required)","If no, please add to protocol deviation log.",,,,,,y,RH,,,,
vs_visit,vital_signs_and_weight,,radio,Visit ID,"Screen, Screen | Cycle, Cycle | EOT, EOT | ClinFU, Clinical FU | Unsch, Unscheduled",,,,,,,y,,,,,
vs_cycle,vital_signs_and_weight,,text,Cycle Number,,,number,,,,[vs_visit] = 'Cycle',y,RH,,,,
vs_date,vital_signs_and_weight,,text,Date Vitals Collected,,,date_mdy,1/26/2016,,,[vitalscoll] = 'Yes',y,,,,,
bp,vital_signs_and_weight,Baseline Vitals,text,Blood Pressure,,"mmHg - enter ""9999"" if not done",,,,,[vitalscoll] = 'Yes',y,,,,,
pulse,vital_signs_and_weight,,text,Pulse,,"bpm - enter ""9999"" if not done",number,,,,[vitalscoll] = 'Yes',y,,,,,
temp,vital_signs_and_weight,,text,Temperature,,"degrees C - enter ""9999"" if not done",number,,,,[vitalscoll] = 'Yes',y,,,,,
weight,vital_signs_and_weight,,text,Weight,,"kg, xx.x - enter ""9999"" if not done, enter ""8888"" if not applicable",,,,,[vitalscoll] = 'Yes',y,,,,,
weight_change,vital_signs_and_weight,,calc,% Change in Weight from Baseline,"if ([screen_arm_1][weight] <> """" and [weight] <>"""",((([weight]/[screen_arm_1][weight])*100)-100), """")","If greater than 5% per CTCAE, please add to AE Log",,,,,[vitalscoll] = 'Yes',y,RH,,,,
cemi_bp,vital_signs_and_weight,Post-Cemiplimab Vitals,text,Blood Pressure,,"mmHg - enter ""9999"" if not done",,,,,[vitalscoll] = 'Yes' and [vs_visit] = 'Cycle',y,,,,,
cemi_pulse,vital_signs_and_weight,,text,Pulse,,"bpm - enter ""9999"" if not done",number,,,,[vitalscoll] = 'Yes' and [vs_visit] = 'Cycle',y,,,,,
cemi_temp,vital_signs_and_weight,,text,Temperature,,"degrees C - enter ""9999"" if not done",number,,,,[vitalscoll] = 'Yes' and [vs_visit] = 'Cycle',y,,,,,
vital_add,vital_signs_and_weight,Additional Vitals,radio,Number of additional vitals performed?,"None, None | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6",,,,,,[vitalscoll] = 'Yes' and [vs_visit] = 'Cycle',y,RH,,,,
bp_add_1,vital_signs_and_weight,,text,Blood Pressure 1,,"mmHg - enter ""9999"" if not done",,,,,[vital_add] = '1' or [vital_add] = '2' or [vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
pulse_add_1,vital_signs_and_weight,,text,Pulse 1,,"bpm - enter ""9999"" if not done",number,,,,[vital_add] = '1' or [vital_add] = '2' or [vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
temp_add_1,vital_signs_and_weight,,text,Temperature 1,,"degrees C - enter ""9999"" if not done",number,,,,[vital_add] = '1' or [vital_add] = '2' or [vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
pb_add_2,vital_signs_and_weight,,text,Blood Pressure 2,,"mmHg - enter ""9999"" if not done",,,,,[vital_add] = '2' or [vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
pulse_add_2,vital_signs_and_weight,,text,Pulse 2,,"bpm - enter ""9999"" if not done",number,,,,[vital_add] = '2' or [vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
temp_add_2,vital_signs_and_weight,,text,Temperature 2,,"degrees C - enter ""9999"" if not done",number,,,,[vital_add] = '2' or [vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
bp_add_3,vital_signs_and_weight,,text,Blood Pressure 3,,"mmHg - enter ""9999"" if not done",,,,,[vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
pulse_add_3,vital_signs_and_weight,,text,Pulse 3,,"bpm - enter ""9999"" if not done",number,,,,[vital_add] = '3' or [vital_add] = '4' or [vital_add] = '5' or [vital_add] = '6',y,,,,,
