Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
weight_baseline,presenting_symptoms_and_workup,,text,Baseline Weight,,Time of diagnosis; in Kilograms,,,,,,,,,,,
bmi_direct,presenting_symptoms_and_workup,,text,BMI,,,,,,,,y,,,,,
ercp,presenting_symptoms_and_workup,,yesno,ERCP,,,,,,,,,RH,,,,
endostent,presenting_symptoms_and_workup,,yesno,Endostent,,,,,,,,,RH,,,,
eus,presenting_symptoms_and_workup,,yesno,EUS,,,,,,,,,RH,,,,
percutaneous_transhepatic,presenting_symptoms_and_workup,,yesno,Percutaneous Transhepatic BIliary Drainage ,,,,,,,,,RH,,,,
biopsy,presenting_symptoms_and_workup,,yesno,Biopsy proven Diagnosis ,,,,,,,,y,RH,,,,
date_of_diagnosis,presenting_symptoms_and_workup,,text,Date of Diagnosis ,,biopsy diagnosis,date_mdy,,,,,,,,,,
location_of_biopsy,presenting_symptoms_and_workup,,text,Location of Biopsy,,,,,,,,,,,,,
biopsy_path_number,presenting_symptoms_and_workup,,text,Biopsy Pathology number,,,,,,,,,,,,,
biopsy_results,presenting_symptoms_and_workup,,notes,Biopsy results ,,,,,,,,,,,,,
biopsy_grade,presenting_symptoms_and_workup,,dropdown,Biopsy Grade of Differentiation,"1, Well differentiated | 2, Moderately differentiated | 3, Poor/Undifferentiated/anaplastic differentiated | 4, No invasive cancer | 5, other",,,,,,,,,,,,
incidental_finding,presenting_symptoms_and_workup,,yesno,Incidental finding ,,,,,,,,,RH,,,, @HIDDEN
pmdc_basic,pmdc,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 91.7965%; height: 64px;"" border=""0""> <tbody> <tr> <td style=""width: 27.8734%; vertical-align: middle;"">Was the patients reviewed at PMDC?</td> <td style=""width: 27.5898%; vertical-align: middle; text-align: left;"">Sequence of Review at PMDC</td> <td style=""width: 43.0563%; text-align: left;"">Has the patient undergone surgery at JHH after being reviewed at PMDC? </td> </tr> <tr> <td style=""width: 27.8734%; text-align: left;"">{was_the_patients_reviewed}</td> <td style=""width: 27.5898%; text-align: left;"">{when_was_patient_reviewed}</td> <td style=""width: 43.0563%; text-align: left;"">{has_the_patient_undergone}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
was_the_patients_reviewed,pmdc,,yesno,Was the patients reviewed at PMDC?,,,,,,,,y,RH,,,,
when_was_patient_reviewed,pmdc,,dropdown,Sequence of Review at PMDC,"1, Before surgical resection | 2, After surgical resection",,,,,,,,,,,,
has_the_patient_undergone,pmdc,,yesno,Has the patient undergone surgery at JHH after being reviewed at PMDC?,,,,,,,,,RH,,,,
before_pmdc,pmdc,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.7175%; height: 28px;"" border=""0""> <tbody> <tr style=""height: 18px;""> <td style=""width: 23.0817%; height: 10px; vertical-align: top;"">Diagnosis before PMDC  </td> <td style=""width: 14.8548%; height: 10px; vertical-align: top;"">{diagnosis_at_pmdc_2}</td> <td style=""height: 10px; vertical-align: top; width: 58.7233%; padding-left: 40px;"" colspan=""2"">Reason for Consult    {consult_reason}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 23.0817%; height: 18px; vertical-align: top;"">Pre-PMDC Stage  </td> <td style=""width: 14.8548%; height: 18px; vertical-align: top;"">{initial_stage}</td> <td style=""vertical-align: top; width: 25.6737%; height: 18px;""> </td> <td style=""vertical-align: top; width: 33.0496%; height: 18px;""> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
diagnosis_at_pmdc_2,pmdc,,dropdown,Diagnosis before PMDC,"7, Mass of Pancreas | 1, Pancreatic ductal adenocarcinoma | 2, IPMN | 3, PNET | 4, SCA | 5, MCN | 6, Other",,,,,,,,,,,,
if_other_please_specify,pmdc,,text,"If other diagnosis, please specify",,,,,,,[diagnosis_at_pmdc_2] = '6',,,,,,
initial_stage,pmdc,,dropdown,"Pre-PMDC Stage
","0, Not seen outside | 1, Not reported | 2, Resectable | 3, Borderline | 4, Locally advanced | 5, Metastatic | 6, Other",,,,,,,,,,,,
other_initial_stage,pmdc,,text,"If other initial stage, please specify",,,,,,,[initial_stage] = '6',,,,,,
consult_reason,pmdc,,dropdown,Reason for consult,"1, Newly diagnosed | 2, 2nd opinion | 3, Return to PMDC | 4, Clinical Trial | 5, Concern for Recurrence | 6, Other | 7, Unclear diagnosis","If its 2nd opinion yet patient came in for trials as well, choose trials, if it is return to pmdc but there is concern of recurrence as well, choose concern for recurrence.",,,,,,,,,,,
other_consult_reason,pmdc,,text,"If other reason of consult, please specify",,,,,,,[consult_reason] = '6',,,,,,
number_of_pmdc_visits,pmdc,,dropdown,Number of PMDC Visits,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7",,,,,,,,,,,,
pmdc_review,pmdc,,descriptive,"<div class=""rich-text-field-label""><p>During PMDC Review</p> <table style=""border-collapse: collapse; width: 99.7175%; height: 165px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 24.5136%; height: 25px;"" colspan=""4"">Total Number of PMDC visits {number_of_pmdc_visits}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 24.5136%; height: 27px;"">Date of Review</td> <td style=""width: 24.5136%; height: 27px;"">{date_of_1st_review_at_pmdc}</td> <td style=""width: 24.5136%; height: 27px;"">{date_of_1st_review_at2_93c}</td> <td style=""width: 24.5191%; height: 27px;"">{date_of_1st_review_at2_719}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 24.5136%; height: 26px;"">Stage of Disease</td> <td style=""width: 24.5136%; height: 26px;"">{stage_of_disease_pmdc}</td> <td style=""width: 24.5136%; height: 26px;"">{stage_of_disease_pmdc2_703}</td> <td style=""width: 24.5191%; height: 26px;"">{stage_of_disease_pmdc2_075}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 24.5136%; height: 19px;"">ECOG</td> <td style=""width: 24.5136%; height: 19px;"">{ecog_pmdc}</td> <td style=""width: 24.5136%; height: 19px;"">{ecog_pmdc_2}</td> <td style=""width: 24.5191%; height: 19px;"">{ecog_pmdc_3}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 24.5136%; height: 23px;"">Recommendations</td> <td style=""width: 24.5136%; height: 23px;"">{pmdc_recommendations}</td> <td style=""width: 24.5136%; height: 23px;"">{pmdc_recommendations2_220}</td> <td style=""width: 24.5191%; height: 23px;"">{pmdc_recommendations22_864}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 24.5136%; height: 27px;"">Intention to Treat</td> <td style=""width: 24.5136%; height: 27px;"">{intention_to_treat}</td> <td style=""width: 24.5136%; height: 27px;"">{intention_to_treat2_9b3}</td> <td style=""width: 24.5191%; height: 27px;"">{intention_to_treat2_92_1ea}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 24.5136%; height: 18px;"">Review completed?</td> <td style=""width: 24.5136%; height: 18px;"">{review_complete}</td> <td style=""width: 24.5136%; height: 18px;"">{review_complete_2}</td> <td style=""width: 24.5191%; height: 18px;"">{review_complete_3}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pmdc_review_2,pmdc,,descriptive,"<div class=""rich-text-field-label""><table style=""width: 99.7175%; height: 97px;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 20.542%; height: 25px;"">Date of PMDC Review cont.</td> <td style=""width: 28.4852%; height: 25px;"">{date_of_1st_review_at2_575}</td> <td style=""width: 24.5136%; height: 25px;"">{date_of_1st_review_at2_397}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 20.542%; height: 24px;"">Stage of Disease</td> <td style=""width: 28.4852%; height: 24px;"">{stage_of_disease_pmdc_4}</td> <td style=""width: 24.5136%; height: 24px;"">{stage_of_disease_pmdc_5}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 20.542%; height: 24px;"">Recommendations</td> <td style=""width: 28.4852%; height: 24px;"">{recommendation_at_4th_visi}</td> <td style=""width: 24.5136%; height: 24px;"">{recommendation_at_4th2_a7f}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 20.542%; height: 24px;"">Review completed?</td> <td style=""width: 28.4852%; height: 24px;"">{review_complete_4}</td> <td style=""width: 24.5136%; height: 24px;"">{review_complete_5}</td> </tr> </tbody> </table></div>",,,,,,,[date_of_1st_review_at2_719] <> '',,,,,,
date_of_1st_review_at_pmdc,pmdc,,text,"Date of review at PMDC
",,,date_mdy,,,,,,,,,,
stage_of_disease_pmdc,pmdc,,dropdown,"Stage of disease at PMDC
","1, Resectable | 2, Borderline | 3, Locally advanced pancreas cancer (LAPC 1) | 4, Locally advanced pancreas cancer (LAPC 2) | 5, Locally advanced pancreas cancer (LAPC 3) | 6, Metastatic | 7, LAPC, NOS",,,,,,,,,,,,
stage_of_disease_pmdc_5,pmdc,,dropdown,"Stage of disease at PMDC
","1, Resectable | 2, Borderline | 3, Locally advanced pancreas cancer (LAPC 1) | 4, Locally advanced pancreas cancer (LAPC 2) | 5, Locally advanced pancreas cancer (LAPC 3) | 6, Metastatic | 7, LAPC, NOS",,,,,,,,,,,,
stage_of_disease_pmdc_4,pmdc,,dropdown,"Stage of disease at PMDC
","1, Resectable | 2, Borderline | 3, Locally advanced pancreas cancer (LAPC 1) | 4, Locally advanced pancreas cancer (LAPC 2) | 5, Locally advanced pancreas cancer (LAPC 3) | 6, Metastatic | 7, LAPC, NOS",,,,,,,,,,,,
ecog_pmdc,pmdc,,dropdown,ECOG at PMDC (1),"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
ecog_pmdc_2,pmdc,,dropdown,ECOG at PMDC (2),"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
